comparison,run,arm,method,racemode,metric,point_estimate,boot_median,ci_lo,ci_hi,p_raw,p_bh,fdr_sig
point,eval_fair-dann-weight,pretraining,dann,weight,auc_race_Black,1.000000,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,auc_sex_Male,0.933959,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,auc_sex_Female,0.980344,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,auc_age_age<med,0.932677,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,auc_age_age>=med,0.963405,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,aucdelta_race,0.024497,,0.001224,0.104388,,,
point,eval_fair-dann-weight,pretraining,dann,weight,aucdelta_sex,0.046385,,0.006356,0.094836,,,
point,eval_fair-dann-weight,pretraining,dann,weight,aucdelta_age,0.030729,,0.001402,0.092646,,,
point,eval_fair-dann-weight,pretraining,dann,weight,esauc_race,0.927413,,0.845948,0.957684,,,
point,eval_fair-dann-weight,pretraining,dann,weight,esauc_sex,0.908014,,0.845137,0.956626,,,
point,eval_fair-dann-weight,pretraining,dann,weight,esauc_age,0.921806,,0.852576,0.964634,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ecedelta_race,0.038010,,0.002750,0.130201,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ecedelta_sex,0.047482,,0.003123,0.125244,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ecedelta_age,0.010297,,0.001552,0.101498,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ece_race_White,0.091302,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ece_race_Asian,0.129312,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ece_race_Black,0.000004,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ece_sex_Male,0.112262,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ece_sex_Female,0.064779,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ece_age_age<med,0.109965,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,ece_age_age>=med,0.099668,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_overall,0.948718,,0.918863,0.974401,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_race_White,0.954416,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_race_Asian,0.935151,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_race_Black,1.000000,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_sex_Male,0.934146,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_sex_Female,0.977887,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_age_age<med,0.939655,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,auc_age_age>=med,0.956471,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,aucdelta_race,0.019265,,0.001051,0.092599,,,
point,eval_fair-dann-resample,pretraining,dann,resample,aucdelta_sex,0.043741,,0.003820,0.091269,,,
point,eval_fair-dann-resample,pretraining,dann,resample,aucdelta_age,0.016816,,0.001112,0.082878,,,
point,eval_fair-dann-resample,pretraining,dann,resample,esauc_race,0.930786,,0.854594,0.958408,,,
point,eval_fair-dann-resample,pretraining,dann,resample,esauc_sex,0.908959,,0.849187,0.959718,,,
point,eval_fair-dann-resample,pretraining,dann,resample,esauc_age,0.933028,,0.860619,0.963492,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ecedelta_race,0.012371,,0.001631,0.101178,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ecedelta_sex,0.023806,,0.001478,0.095014,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ecedelta_age,0.008446,,0.001416,0.091471,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ece_race_White,0.081233,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ece_race_Asian,0.093603,,,,,,
